iter	Passed	Remaining
481	592	636
482	592	634
483	593	632
484	594	630
485	594	629
486	597	629
487	598	627
488	599	626
489	600	625
490	601	623
491	602	622
492	603	620
493	604	618
494	604	617
495	605	615
496	606	613
497	607	611
498	608	610
499	608	608
500	609	607
501	611	606
502	612	605
503	614	604
504	615	603
505	616	602
506	617	600
507	618	598
508	619	597
509	619	595
510	621	594
511	621	592
512	622	590
513	623	589
514	623	587
515	624	585
516	625	584
517	627	583
518	628	582
519	629	580
520	630	579
521	631	577
522	632	576
523	633	575
524	633	573
525	634	571
526	635	570
527	636	568
528	636	566
529	637	565
530	638	563
531	638	561
532	639	560
533	641	559
534	642	558
535	643	556
536	644	555
537	645	554
538	646	552
539	647	551
540	647	549
541	648	548
542	649	546
543	649	544
544	650	543
545	651	541
546	651	539
547	652	538
548	653	536
549	654	535
550	655	534
551	656	532
552	657	531
553	658	530
554	659	528
555	660	527
556	661	525
557	661	524
558	662	522
559	663	520
560	663	519
561	664	517
562	664	516
563	665	514
564	666	513
565	667	511
566	667	509
567	668	508
568	670	507
569	671	506
570	672	505
571	673	503
572	674	502
573	674	500
574	675	499
575	676	497
576	676	496
577	677	494
578	678	493
579	678	491
580	679	490
581	680	488
582	680	487
583	681	485
584	682	484
585	684	483
586	686	482
587	687	481
588	688	480
589	689	479
590	690	478
591	691	476
592	692	475
593	693	473
594	693	472
595	694	470
596	695	469
597	696	468
598	697	466
599	699	466
600	700	465
601	702	464
602	703	462
603	704	461
604	704	460
605	705	458
606	706	457
607	707	455
608	707	454
609	708	453
610	709	451
611	710	450
612	711	449
613	713	448
614	714	447
615	715	446
616	716	445
617	717	443
618	718	442
619	719	440
620	720	439
621	721	438
622	721	436
623	722	435
624	723	434
625	724	432
626	724	431
627	727	430
628	729	430
629	730	429
630	731	427
631	732	426
632	733	425
633	734	424
634	741	426
635	743	425
636	745	424
637	746	423
638	747	422
639	748	421
640	749	419
641	750	418
642	751	417
643	752	415
644	752	414
645	753	413
646	754	411
647	755	410
648	757	409
649	758	408
650	760	407
651	761	406
652	762	405
653	763	403
654	764	402
655	764	401
656	765	399
657	766	398
658	767	396
659	767	395
660	768	394
661	769	392
662	770	391
663	772	390
664	773	389
665	774	388
666	775	387
667	776	385
668	777	384
669	777	383
670	778	381
671	779	380
672	780	379
673	780	377
674	781	376
675	782	374
676	782	373
677	783	372
678	784	370
679	785	369
680	787	368
681	787	367
682	789	366
683	790	365
684	791	363
685	791	362
686	792	361
687	793	359
688	794	358
689	794	357
690	795	355
691	796	354
692	796	353
693	797	351
694	800	351
695	801	349
696	802	348
697	803	347
698	804	346
699	806	345
700	806	344
701	807	342
702	808	341
703	809	340
704	810	339
705	811	337
706	812	336
707	816	336
708	817	335
709	818	334
710	819	333
711	821	332
712	822	331
713	824	330
714	829	330
715	833	330
716	834	329
717	835	328
718	836	327
719	838	326
720	839	324
721	840	323
722	840	322
723	841	320
724	844	320
725	846	319
726	848	318
727	849	317
728	850	316
729	851	314
730	852	313
731	853	312
732	854	311
733	854	309
734	855	308
735	856	307
736	857	306
737	859	305
738	860	303
739	861	302
740	862	301
741	864	300
742	866	299
743	867	298
744	868	297
745	869	296
746	870	294
747	871	293
748	874	292
749	875	291
750	877	290
751	880	290
752	881	289
753	882	287
754	883	286
755	884	285
756	885	284
757	886	282
758	888	282
759	890	281
760	892	280
761	893	279
762	894	277
763	895	276
764	896	275
765	899	274
766	900	273
767	901	272
768	903	271
769	904	270
770	906	269
771	907	268
772	908	266
773	909	265
774	910	264
775	911	263
776	912	261
777	913	260
778	914	259
779	915	258
780	916	257
781	918	255
782	919	254
783	920	253
784	921	252
785	922	251
786	923	249
787	924	248
788	924	247
789	925	246
790	926	244
791	927	243
792	927	242
793	928	240
794	929	239
795	930	238
796	931	237
797	933	236
798	934	235
799	935	233
800	936	232
801	937	231
802	937	230
803	938	228
804	939	227
805	939	226
806	940	224
807	941	223
808	942	222
809	943	221
810	943	219
811	944	218
812	945	217
813	946	216
814	947	215
815	948	213
816	949	212
817	950	211
818	951	210
819	951	208
820	952	207
821	953	206
822	954	205
823	954	203
824	955	202
825	956	201
826	956	200
827	957	198
828	958	197
829	959	196
830	960	195
831	961	194
832	963	193
833	963	191
834	964	190
835	966	189
836	966	188
837	967	187
838	968	185
839	969	184
840	969	183
841	970	182
842	971	180
843	972	179
844	972	178
845	973	177
846	974	176
847	976	174
848	977	173
849	977	172
850	978	171
851	980	170
852	981	169
853	981	167
854	982	166
855	983	165
856	984	164
857	984	162
858	985	161
859	986	160
860	986	159
861	987	158
862	988	156
863	989	155
864	990	154
865	991	153
866	992	152
867	993	151
868	994	149
869	995	148
870	996	147
871	996	146
872	997	145
873	998	143
874	998	142
875	999	141
876	1000	140
877	1001	139
878	1001	137
879	1002	136
880	1003	135
881	1005	134
882	1006	133
883	1007	132
884	1008	131
885	1009	129
886	1010	128
887	1010	127
888	1011	126
889	1012	125
890	1013	123
891	1014	122
892	1014	121
893	1015	120
894	1016	119
895	1017	118
896	1019	117
897	1020	115
898	1021	114
899	1022	113
900	1023	112
901	1024	111
902	1025	110
903	1026	108
904	1026	107
905	1027	106
906	1028	105
907	1028	104
908	1029	103
909	1030	101
910	1030	100
911	1033	99
912	1034	98
913	1035	97
914	1036	96
915	1037	95
916	1038	94
917	1039	92
918	1040	91
919	1040	90
920	1041	89
921	1042	88
922	1042	87
923	1043	85
924	1044	84
925	1045	83
926	1046	82
927	1047	81
928	1048	80
929	1050	79
930	1051	77
931	1051	76
932	1052	75
933	1053	74
934	1054	73
935	1054	72
936	1055	70
937	1056	69
938	1057	68
939	1057	67
940	1058	66
941	1059	65
942	1059	64
943	1061	62
944	1062	61
945	1063	60
946	1064	59
947	1065	58
948	1066	57
949	1067	56
950	1068	55
951	1068	53
952	1069	52
953	1070	51
954	1071	50
955	1071	49
956	1072	48
957	1073	47
958	1074	45
959	1075	44
960	1076	43
961	1077	42
962	1079	41
963	1080	40
964	1081	39
965	1081	38
966	1082	36
967	1083	35
968	1084	34
969	1085	33
970	1085	32
971	1086	31
972	1087	30
973	1088	29
974	1088	27
975	1090	26
976	1091	25
977	1092	24
978	1094	23
979	1095	22
980	1095	21
981	1096	20
982	1097	18
983	1098	17
984	1098	16
985	1099	15
986	1100	14
987	1101	13
988	1101	12
989	1102	11
990	1103	10
991	1105	8
992	1106	7
993	1107	6
994	1108	5
995	1109	4
996	1110	3
997	1111	2
998	1112	1
999	1112	0
